"ID","Species","Owner","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner.1","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Cupper.Points","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Expiration","Certification.Body","unit_of_measurement","altitude_low_meters","altitude_high_meters"
26,"Arabica","nucoffee","Brazil","fazenda kaquend","NULL","nucoffee","1250m","south of minas","Ralph Junqueira","3","60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Natural / Dry","8.5","8.5","8","8","8","8","10","10","10","7.92","86.92","0.12","0","0","Green","2","December 2nd, 2012","NUCOFFEE","m","1250","1250"
27,"Arabica","ethiopia commodity exchange","Ethiopia","NULL","NULL","NULL","NULL","sidamo","Green Gold Ethiopia | Phone: 0114342032","150","6","Ethiopia Commodity Exchange","2009/2010","June 16th, 2010","Ethiopia Commodity Exchange","NULL","NULL","7.83","8.25","8.08","8.17","8.17","8.17","10","10","10","8.25","86.92","0.05","0","0","NULL","2","June 16th, 2011","Ethiopia Commodity Exchange","m","NULL","NULL"
28,"Arabica","kabum trading company","Uganda","chebonet (23) women coffee","kabum trading company","kabum trading company","1950","kapchorwa eastern","Kabum trading company","100","60 kg","Uganda Coffee Development Authority","2013","June 26th, 2014","Kabum Trading company","SL14","Washed / Wet","8.42","8.17","8.17","8.17","7.83","7.92","10","10","10","8.17","86.83","0.12","0","0","Green","1","June 26th, 2015","Uganda Coffee Development Authority","m","1950","1950"
29,"Arabica","bismarck castro","Honduras","los hicaques","cigrah s.a de c.v.","cigrah s.a de c.v","1400","comayagua","Reinerio Zepeda","275","69 kg","Instituto HondureÃ±o del CafÃ©","2016","May 18th, 2017","Bismarck Castro","Caturra","NULL","8.17","8.08","8.08","8","8.08","8","10","10","10","8.25","86.67","0.1","0","0","Green","3","May 18th, 2018","Instituto HondureÃ±o del CafÃ©","m","1400","1400"
30,"Arabica","lin, che-hao krude ???","Taiwan","tsoustructive garden ???","tsoustructive garden ???","taiwan coffee laboratory","1200","leye, alishan township, chiayi county","FANG,ZHENG-LUN ???","20","50 kg","Specialty Coffee Association","2015","May 18th, 2016","Lin, Che-Hao Krude ???","Sumatra","Pulped natural / honey","8","8","8","8.25","8","8.17","10","10","10","8.17","86.58","0","0","0","Green","0","May 18th, 2017","Specialty Coffee Association","m","1200","1200"
31,"Arabica","nora zeas","Nicaragua","NULL","beneficio atlantic condega","NULL","NULL","NULL","NULL","275","6","Specialty Coffee Association","NULL","May 18th, 2010","Nora Zeas","NULL","NULL","7.92","8.25","8","8.33","8","8.08","10","10","10","8","86.58","0.08","0","0","NULL","2","May 18th, 2011","Specialty Coffee Association","m","NULL","NULL"
32,"Arabica","specialty coffee-korea","Tanzania, United Republic Of","NULL","NULL","NULL","NULL","NULL","NULL","100","60 kg","Specialty Coffee Institute of Asia","2012","September 3rd, 2013","Specialty Coffee-Korea","NULL","Natural / Dry","8.42","8.17","8.17","8","7.58","8","10","10","10","8.17","86.5","0.11","0","0","Bluish-Green","1","September 3rd, 2014","Specialty Coffee Institute of Asia","m","NULL","NULL"
33,"Arabica","nucoffee","Brazil","fazenda recreio","NULL","nucoffee","1300","vale da grama","Homero Texeira de Macedo Junior","29","60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Natural / Dry","8.5","8.17","8","7.75","8","8","10","10","10","8","86.42","0.12","0","0","Green","2","December 2nd, 2012","NUCOFFEE","m","1300","1300"
34,"Arabica","francisco a mena","Costa Rica","exclusive coffees s.a.","exclusive coffees s.a,","exclusive coffees s.a.","1300","west and central valley","Exclusive Coffees S.A.","250","2 lbs","Specialty Coffee Association of Costa Rica","2015/2016","December 3rd, 2015","Francisco A Mena","Caturra","Washed / Wet","8.17","7.83","8","8.08","7.83","8","10","10","10","8.42","86.33","0","0","0","Blue-Green","0","December 2nd, 2016","Specialty Coffee Association of Costa Rica","m","1300","1300"
35,"Arabica","hider abamecha","Ethiopia","haider abamecha coffee plantation","faysal abamecha processing plant at yebu town","haider abamecha coffee export","1750-1800","oromia","Haider Abamecha Abadiko","320","60 kg","METAD Agricultural Development plc","2014","March 27th, 2015","Hider Abamecha","NULL","Natural / Dry","8","8.08","7.92","8","8.08","8.08","10","10","10","8.08","86.25","0.1","0","0","Green","3","March 26th, 2016","METAD Agricultural Development plc","m","1750","1800"
36,"Arabica","daniel magu","Kenya","kangunu","central kenya coffee mills","c dorman ltd","1800","muranga","Kangunu","320","1 kg","Kenya Coffee Traders Association","2013","May 30th, 2014","Daniel Magu","SL34","Washed / Wet","8.08","8","8","8.25","7.92","7.92","10","10","10","8.08","86.25","0.12","0","0","Blue-Green","1","May 30th, 2015","Kenya Coffee Traders Association","m","1800","1800"
37,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","NULL","NULL","kona pacific farmers cooperative","NULL","kona","NULL","10","100 lbs","Specialty Coffee Association","2012","April 6th, 2012","Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry","8.08","8.17","8","7.92","7.92","7.83","10","10","10","8.33","86.25","0","1","0","NULL","4","April 6th, 2013","Specialty Coffee Association","ft","NULL","NULL"
38,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","kona pacific farmers cooperative","NULL","NULL","NULL","kona","Kona Pacific Farmers Co-Op","25","100 lbs","Specialty Coffee Association","2010","January 28th, 2011","Kona Pacific Farmers Cooperative","NULL","NULL","8.25","8.42","8.08","7.75","7.67","7.83","10","10","10","8.25","86.25","0","2","0","NULL","1","January 28th, 2012","Specialty Coffee Association","ft","NULL","NULL"
39,"Arabica","ethiopia commodity exchange","Ethiopia","phone number | 0911-51-08-01, email | at","NULL","NULL","NULL","yirgacheffe","Contact name | ATO Teshome Belamo","300","6","Ethiopia Commodity Exchange","2009/2010","June 17th, 2010","Ethiopia Commodity Exchange","NULL","NULL","7.92","7.75","8.08","8.08","8.08","8.17","10","10","10","8.17","86.25","0.1","0","0","NULL","2","June 17th, 2011","Ethiopia Commodity Exchange","m","NULL","NULL"
40,"Arabica","cqi q coffee sample representative","United States","la primavera","NULL","coffee quality institute","meters above sea level: 1.941","antioquia","Hugo SepÃºlveda Montoya","10","1 kg","AlmacafÃ©","2014","March 13th, 2015","CQI Q Coffee Sample Representative","Other","Washed / Wet","7.67","8.17","8","8","8.17","8.08","10","10","10","8.08","86.17","0","0","0","NULL","0","March 12th, 2016","AlmacafÃ©","m","1941","1941"
41,"Arabica","itdp international","Thailand","co-op #12","NULL","lanna cafe","1300","chiang rai","ITDP","53","1 kg","Specialty Coffee Association","2012","April 12th, 2012","ITDP International","Caturra","Washed / Wet","7.83","8.33","7.83","8.25","7.58","7.92","10","10","10","8.42","86.17","0.1","1","0","Green","9","April 12th, 2013","Specialty Coffee Association","m","1300","1300"
42,"Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","cocarive","NULL","1.2","sul de minas - carmo de minas","Maria Rogeria Costa Pereira","300","60 kg","Specialty Coffee Association","2010","January 4th, 2011","Jacques Pereira Carneiro","Yellow Bourbon","NULL","8.17","7.92","7.92","7.75","8.33","8","10","10","10","8.08","86.17","0.08","0","0","NULL","2","January 4th, 2012","Specialty Coffee Association","m","12","12"
43,"Arabica","jacques pereira carneiro","Brazil","pereira estate coffee","cocarive","NULL","1.2","sul de minas - carmo de minas","Maria Rogeria Costa Pereira","300","60 kg","Specialty Coffee Association","2010","January 4th, 2011","Jacques Pereira Carneiro","Yellow Bourbon","NULL","8.42","7.92","8","7.75","7.92","8","10","10","10","8.17","86.17","0.01","0","0","NULL","3","January 4th, 2012","Specialty Coffee Association","m","12","12"
44,"Arabica","lin, che-hao krude ???","Taiwan","sunshine valley estate ??????","sunshine valley estate ??????","taiwan coffee laboratory","1000 m","natou county","LIN YEN CHIEN ???","10","15 kg","Specialty Coffee Association","2015","June 10th, 2015","Lin, Che-Hao Krude ???","Bourbon","Semi-washed / Semi-pulped","8.08","8.17","7.75","8.08","7.75","7.83","10","10","10","8.42","86.08","0.12","0","0","Green","0","June 9th, 2016","Specialty Coffee Association","m","1000","1000"
45,"Arabica","jungle estate","Kenya","jungle estate","nkg coffee mills","keremara limited","1754","nyeri","JUNGLE ESTATE","12","60 kg","Kenya Coffee Traders Association","2014","January 29th, 2015","Jungle Estate","SL28","Natural / Dry","8.08","8.08","8","8","7.83","8.08","10","10","10","8","86.08","0.11","0","0","Bluish-Green","2","January 29th, 2016","Kenya Coffee Traders Association","m","1754","1754"
46,"Arabica","nucoffee","Brazil","fazenda kaquend","NULL","nucoffee","1250m","south of minas","Ralph Junqueira","7","60 kg","NUCOFFEE","2011","December 3rd, 2011","NUCOFFEE","Bourbon","Semi-washed / Semi-pulped","8.33","8","8","8","7.75","8","10","10","10","8","86.08","0.11","0","0","Blue-Green","2","December 2nd, 2012","NUCOFFEE","m","1250","1250"
47,"Arabica","great lakes coffee uganda","Uganda","kaasayi","great lakes coffee","ucda","NULL","eastern uganda","Kaasay Farmer Group","1","60 kg","Uganda Coffee Development Authority","2014","October 1st, 2014","Great Lakes Coffee Uganda","NULL","Semi-washed / Semi-pulped","8.08","8.08","7.83","7.92","8.08","7.92","10","10","10","8.08","86","0","0","0","NULL","0","October 1st, 2015","Uganda Coffee Development Authority","m","NULL","NULL"
48,"Arabica","lusso lab","Colombia","ecobio colombia","NULL","lusso coffee lab","900-1500m","tolima","NULL","1","2 kg","Specialty Coffee Association","2013","March 20th, 2014","LUSSO LAB","Caturra","Washed / Wet","7.75","7.92","7.83","8.08","8.08","8.17","10","10","10","8.17","86","0.12","1","0","Green","1","March 20th, 2015","Specialty Coffee Association","m","900","1500"
49,"Arabica","lusso lab","Kenya","kianjavi","NULL","lusso coffee lab","1520m-2200m","kiambu","NULL","1","1 kg","Specialty Coffee Association","2013","February 6th, 2014","LUSSO LAB","SL28","Washed / Wet","7.92","8.17","7.83","8.5","7.5","7.92","10","10","10","8.17","86","0.11","0","0","Green","1","February 6th, 2015","Specialty Coffee Association","m","1520","2200"
50,"Arabica","afca","Uganda","NULL","NULL","kawacom uganda ltd","1400-1900m","sipi, mt elgon","Kawacom","1","60 kg","Africa Fine Coffee Association","2012","February 13th, 2012","AFCA","Other","Washed / Wet","8.25","8","7.83","8.08","8","7.92","10","10","10","7.92","86","0.1","0","0","Blue-Green","0","February 12th, 2013","Africa Fine Coffee Association","m","1400","1900"
51,"Arabica","ethiopia commodity exchange","Ethiopia","contact | sidacoop@ethionet.net","coffee processing and warehouse enterpri","NULL","1500-2000 m","sidamo","Sidama Coffee Farmers Coop. Union","300","6","Ethiopia Commodity Exchange","2009/2010","June 17th, 2010","Ethiopia Commodity Exchange","NULL","NULL","7.75","8.08","8","8.25","8","8","10","10","10","7.92","86","0.01","0","0","NULL","4","June 17th, 2011","Ethiopia Commodity Exchange","m","1500","2000"
52,"Arabica","grounds for health admin","United States (Hawaii)","hula daddy kona coffee","NULL","NULL","1400ft","kona","Hula Daddy Kona Coffee","1","2","Specialty Coffee Association","Fall 2009","May 31st, 2010","Grounds for Health Admin","NULL","NULL","8.33","8.17","7.75","8","7.75","7.83","10","10","10","8.17","86","0","0","0","NULL","0","May 31st, 2011","Specialty Coffee Association","ft","426.72","426.72"
53,"Arabica","juan luis alvarado romero","Guatemala","la esperanza y anexos","beneficio ixchel","unex guatemala, s.a.","NULL","nuevo oriente","MARGARITA AVILA DE NUYENS","80","69 kg","Asociacion Nacional Del CafÃ©","2016","May 16th, 2016","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.92","8.08","7.92","8.08","8.08","7.83","10","10","10","8","85.92","0.1","0","1","Green","3","May 16th, 2017","Asociacion Nacional Del CafÃ©","m","NULL","NULL"
54,"Arabica","kawacom uganda ltd","Uganda","sipi organic coffee project","kawacom","kawacom uganda ltd","1400-1900","eastern","Kawacom (U)Ltd","1","60 kg","Uganda Coffee Development Authority","2013","June 30th, 2014","Kawacom Uganda LTD","SL14","Natural / Dry","8.17","8.17","7.92","8.08","7.83","7.75","10","10","10","8","85.92","0.12","0","0","Green","0","June 30th, 2015","Uganda Coffee Development Authority","m","1400","1900"
55,"Arabica","exportadora de cafe condor s.a","Colombia","NULL","trilladora boananza","exportadora de cafe condor s.a","1800 msnm","huila","NULL","275","70 kg","AlmacafÃ©","2013","July 26th, 2013","Exportadora de Cafe Condor S.A","Caturra","Washed / Wet","8","8","8","8.17","7.83","8","10","10","10","7.92","85.92","0","1","0","Blue-Green","0","July 26th, 2014","AlmacafÃ©","m","1800","1800"
56,"Arabica","gonzalo hernandez","Panama","la berlina estate","beneficio casa ruiz s.a.","ce specialty s.a.","1600","boquete","Plinio Ruiz","37","60 kg","Specialty Coffee Association of Costa Rica","2017","October 9th, 2017","Gonzalo Hernandez","Gesha","Washed / Wet","8","8","7.92","8.08","7.83","8","10","10","10","8","85.83","0.08","0","1","Bluish-Green","0","October 9th, 2018","Specialty Coffee Association of Costa Rica","m","1600","1600"
57,"Arabica","ibrahim hussien speciality coffee producer &export","Ethiopia","NULL","burka gudina","ibrahim hussien specality coffee product & exporter","1800-2000","oromia","Ibrahim Hussien Specialty Coffee Producer and Exporter","320","60 kg","METAD Agricultural Development plc","2014","April 4th, 2015","Ibrahim Hussien Speciality Coffee Producer &Export","NULL","Washed / Wet","7.83","8.08","7.92","8.08","8","7.92","10","10","10","8","85.83","0.1","0","0","Green","4","April 3rd, 2016","METAD Agricultural Development plc","m","1800","2000"
58,"Arabica","juan luis alvarado romero","Guatemala","valparaiso","beneficio valparaiso","sertrasa","5000","acatenango","SERTRASA","150","1 kg","Asociacion Nacional Del CafÃ©","2012","July 3rd, 2012","Juan Luis Alvarado Romero","Bourbon","Washed / Wet","7.83","8","8","8.17","7.83","8","10","10","10","8","85.83","0.12","0","0","Green","3","July 3rd, 2013","Asociacion Nacional Del CafÃ©","ft","1524","1524"
59,"Arabica","juan luis alvarado romero","Guatemala","finca el limon","beneficio serben","unicafe","4650","nuevo oriente","WILLIAM ESTUARDO MARTINEZ PACHECO","275","1 kg","Asociacion Nacional Del CafÃ©","2012","June 5th, 2012","Juan Luis Alvarado Romero","Catuai","Washed / Wet","8","8","7.83","8.33","7.83","7.83","10","10","10","8","85.83","0.1","0","0","Bluish-Green","1","June 5th, 2013","Asociacion Nacional Del CafÃ©","ft","1417.32","1417.32"
60,"Arabica","seid damtew coffee planataion","Ethiopia","seid damtew coffee planation","seid damtew coffee export and plantation","seid damtew coffee planation","NULL","addis ababa","seid damtew coffee export and plantation","320","19200 kg","METAD Agricultural Development plc","2017","June 23rd, 2017","SEID DAMTEW COFFEE PLANATAION","Caturra","Natural / Dry","7.83","8","7.83","8.17","7.92","8","10","10","10","8","85.75","0.09","0","4","None","7","June 23rd, 2018","METAD Agricultural Development plc","m","NULL","NULL"
61,"Arabica","dane loraas","Peru","NULL","NULL","sustainable harvest","NULL","cajamarca","NULL","280","5 lbs","Specialty Coffee Association","2013","January 22nd, 2014","Dane Loraas","NULL","Washed / Wet","8","8","8","8.08","7.92","7.75","10","10","10","8","85.75","0.1","4","0","Green","6","January 22nd, 2015","Specialty Coffee Association","m","NULL","NULL"
62,"Arabica","colbran coffeelands, ltd.","Papua New Guinea","tairora cherry â€“ bonta","baroida","cqi","1700 mts","eastern highlands province","Colbran CoffeeLands, Ltd.","7","60 kg","Specialty Coffee Association","2012","October 25th, 2012","Colbran Coffeelands, Ltd.","NULL","Washed / Wet","8.33","8.42","7.83","8.33","8","8.25","9.33","9.33","10","7.92","85.75","0.12","0","0","Bluish-Green","1","October 25th, 2013","Specialty Coffee Association","m","1700","1700"
63,"Arabica","atlantic specialty coffee","El Salvador","el majahual","j. hill y cia","atlantic specialty coffee","1500 meters","apaneca","Aida Batlle","275","2 kg","Specialty Coffee Association","2013","March 18th, 2013","Atlantic Specialty Coffee","Bourbon","Washed / Wet","7.92","8.17","8","7.92","7.75","7.83","10","10","10","8","85.58","0.1","0","0","Blue-Green","3","March 18th, 2014","Specialty Coffee Association","m","1500","1500"
64,"Arabica","lusso lab","El Salvador","finca la esmeralda","aqua caliente, j.j. borja nathan. s.a","lusso coffee lab","1300~1400 m.s.l","ataco, apaneca - ilamatepec mountain range","Oscar Roberto Murgas Linares","19","1 kg","Specialty Coffee Association","2012","January 12th, 2013","LUSSO LAB","Bourbon","Semi-washed / Semi-pulped","7.83","8","8","7.75","7.92","8.17","10","10","10","7.92","85.58","0.11","0","0","None","0","January 12th, 2014","Specialty Coffee Association","m","1300","1400"
65,"Arabica","kona pacific farmers cooperative","United States (Hawaii)","NULL","NULL","kona pacific farmers cooperative","NULL","kona","NULL","8","100 lbs","Specialty Coffee Association","2012","April 6th, 2012","Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry","7.83","8","7.92","7.75","8.08","8","10","10","10","8","85.58","0","0","0","NULL","1","April 6th, 2013","Specialty Coffee Association","ft","NULL","NULL"
