"","Kingdom","Phylum","Class","Order","Family","Genus","Scientific Name"
"302","Animalia","Chordata","Sarcopterygii","Coelacanthiformes","Latimeriidae","Latimeria","Coelacanthiformes"
"303","Animalia","Chordata","Mammalia","Atriodactyla","Tayassuidae","Pecari","Pecari tajacu"
"304","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"305","Animalia","Mollusca","Cephalopoda","Oegopsida","Cranchiidae","Mesonychoteuthis","Mesonychoteuthis hamiltoni"
"306","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo buteo"
"307","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana temporaria"
"308","Animalia","Arthropoda","Arachnida","aranae","Theridiidae","Parasteatoda","Parasteatoda tepidariorum"
"309","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia Immer"
"310","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax"
"311","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo Bufo"
"312","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"313","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"314","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"315","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"316","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"317","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"318","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"319","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"320","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"321","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Saguinus","Saguinus Oedipus"
"322","Animalia","Chordata","Mammalia","Carnivora","Felidae","Puma","Felis Concolor"
"323","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos Taurus"
"324","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis latrans"
"325","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"326","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"327","Animalia","Chordata","Mammalia","Primates","Cercopithecidae","Macaca","Macaca Fascicularis"
"328","Animalia","Chordata","Mammalia","Carnivora","Pinnipedia","Lobodon","Lobodon carcinophaga"
"329","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"330","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"331","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes robustus"
"332","Animalia","Chordata","Reptilia","Crocodilia","Crocodylidae","Crocodylus","Crocodylus acutus"
"333","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes"
"334","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla gorilla diehli"
"335","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculidae"
"336","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"337","Animalia","Chordata","Mammalia","Marsupialia","Phalangeridae","Phalanger","Phalanger maculatus"
"338","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"339","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"340","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"341","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"342","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"343","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"344","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"345","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"346","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"347","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"348","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"349","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"350","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Schistocerca","Schistocerca gregaria"
"351","Animalia","Chordata","Amphibia","Anura","Brevicipitidae","Breviceps","Breviceps macrops"
"352","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Gopherus","Gopherus Agassizii"
"353","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"354","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"355","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cuon","Cuon alpinus"
"356","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"357","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus Dingo"
"358","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"359","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"360","Animalia","Chordata","Aves","Columbiformes","Columbidae","Raphus","Raphus cucullatus"
"361","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"362","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"363","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"364","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"365","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus Asinus"
"366","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"367","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"368","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"369","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"370","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"371","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"372","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","canis lupus familiaris"
"373","Animalia","Chordata","Reptilia","Squamata","Agamidae","Draco","Draco volans"
"374","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"375","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"376","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"377","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"378","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"379","Animalia","Chordata","Mammalia","Sirenia","Dugongidae","Dugong","Dugong Dugon"
"380","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"381","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"382","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus obscurus"
"383","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"384","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"385","Animalia","Annelida","Clitellata","Opisthopora","Limbricidae","Lumbricus Linnaeus","Lumbricina"
"386","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"387","Animalia","Chordata","Aves","Passeriformes","Turdidae","Sialia","Sialia sialis"
"388","Animalia","Chordata","Reptilia","Squamata","Phyrnosomatidae","Sceloporus","Sceloporus undulatas"
"389","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla berengei"
"390","Animalia","Chordata","Mammalia","Primates","Hominidae","Gorilla","Gorilla Berengei Graueri"
"391","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis phoebe"
"392","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus Aculeatus"
"393","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax kl. esculentus"
"394","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"395","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"396","Animalia","Chordata","Actinopterygii","Gymnotiformes","Gymnotidae","Electrophorus","Electrophorus Electricus"
"397","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"398","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga"
"399","Animalia","Chordata","Mammalia","Macroscelidea","Macroscelididae","Elephantulus","Elephantulus"
"400","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus canadensis"
"401","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri"
"402","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Saguinus","Saguinus Imperator"
"403","Animalia","Chordata","Aves","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae"
"404","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"405","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"406","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"407","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"408","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"409","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"410","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"411","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"412","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"413","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela erminea"
"414","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"415","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"416","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"417","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"418","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Dama","Dama dama"
"419","Animalia","Chordata","Mammalia","Artiodactyla","Delphinidae","Pseudorca","Pseudorca crassidens"
"420","Animalia","Arthropoda","Arachnida"," Araneae","Theridiidae","Steatoda","Steatoda grossa"
"421","Animalia","Chordata","Actinopterygii","Beryciformes","Anoplogastridae","Anoplogaster","Anoplogaster"
"422","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"423","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes zerda"
"424","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela furo"
"425","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo regalis"
"426","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"427","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"428","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"429","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera Physalus"
"430","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"431","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"432","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","Bombina"
"433","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"434","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Pekania","Pekania pennanti"
"435","Animalia","Chordata","Mammalia","Carnivora","Felidae","Prionailurus","Prionailurus viverrinus"
"436","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"437","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"438","Animalia","Chordata","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus","Lepisosteus platyrhincus"
"439","Animalia","Chordata","Mammalia","Carnivora","Felidae","Puma","Puma concolor couguar"
"440","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys"
"441","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"442","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"443","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"444","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"445","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"446","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Pteromyini","Pteromyini"
"447","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"448","Animalia","Chordata","Mammalia","Carnivora","Eupleridae","Cryptoprocta","Cryptoprocta ferox"
"449","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes"
"450","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"451","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"452","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"453","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"454","Animalia","Chordata","Aves","Pelecaniformes","Fregatidae","Fregata","Fregata"
"455","Animalia","Chordata","Reptilia","Squamata","Agamidae","Chlamydosaurus","Chlamydosaurus kingii"
"456","Animalia","Chordata","Chondrichthyes","Hexanchiformes","Chlamydoselachidae","Chlamydoselachus","Chlamydoselachus anguineus"
"457","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"458","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"459","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"460","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalinae"
"461","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus Mendiculus"
"462","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Chelonoidis","Chelonoidis nigra"
"463","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"464","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"465","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"466","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Genetta","Genetta genetta"
"467","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Pygoscelis","Pygoscelis papua"
"468","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Saguinus","Saguinus Geoffroyi"
"469","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"470","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"471","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"472","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"473","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"474","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"475","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"476","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"477","Animalia","Chordata","Reptilia","Crocodilia","Gavialidae","Gavialis","Gavialis gangeticus"
"478","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"479","Animalia","Mollusca","Gastropoda","Achatinoidea","Achatinidae","Achatina","Achatina fulica"
"480","Animalia","Chordata","Mammalia","Cingulata","Chlamyphoridae","Priodontes","Priodontes maximus"
"481","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Tridacna","Tridacna gigas"
"482","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda","Ailuropoda melanoleuca"
"483","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"484","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"485","Animalia","Chordata","Mammalia"," Carnivora"," Canidae","Canis","Canis lupus"
"486","Animalia","Chordata","Mammalia","Primates","Hylobatidae","Hylobates","Hylobatidae"
"487","Animalia","Chordata","Reptilia","Squamata","Helodermatidae","Heloderma","Heloderma suspectum"
"488","Animalia","Chordata","Mammalia","Artiodactyla","Giraffidae","Giraffa","Giraffa camelopardalis"
"489","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"490","Animalia","Chordata","Reptilia","Squamata","Anguidae","Ophisaurus","Ophisaurus"
"491","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"492","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"493","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"494","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"495","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"496","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"497","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"498","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"499","Animalia","Chordata","Mammalia","Primates","Callitrichidae","Leontopithecus","Leontopithecus rosalia"
"500","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto aurantia"
"501","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"502","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Oriolus","Oriolus oriolus"
"503","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"504","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"505","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"506","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"507","Animalia","Chordata","Mammalia","Chiroptera","Pteropodidae","Acerodon","Acerodon jubatus"
"508","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"509","Animalia","Chordata","Amphibia","Anura","Conrauidae","Conraua","Conraua goliath"
"510","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"511","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Geomys","Geomys bursarius"
"512","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Gopherus","Gopherus polyphemus"
"513","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"514","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"515","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Erythrura","Erythrura gouldiae"
"516","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"517","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"518","Animalia","Chordata","Mammalia","Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus"
"519","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla versicolor"
"520","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias"
"521","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","Myiarchus crinitus"
"522","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"523","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"524","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"525","Animalia","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias"
"526","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"527","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","Anolis","Anolis carolinensis"
"528","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops","Merops orientalis"
"529","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates clamitans"
"530","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"531","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"532","Animalia","Chordata","Chondrichthyes","Squaliformes","Somniosidae","Somniosus","Somniosus microcephalus"
"533","Animalia","Chordata","Mammalia","Primates","Cheirogaleidae","Microcebus","Microcebus murinus"
"534","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus Amblyrhynchos"
"535","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","Halichoerus Grypus"
"536","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"537","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"538","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus Arctos Horriblis"
"539","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"540","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"541","Animalia","Chordata","Aves","Galliformes","Phasianidae","Tetraoninae","Tetraoninae"
"542","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"543","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Cavia","Cavia porcellus"
"544","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia reticulata"
"545","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus"," Melanogrammus aeglefinus"
"546","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"547","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"548","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"549","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina"
"550","Animalia","Chordata","Actinopterygii","Siluriformes","Ariidae","Ariopsis","Ariopsis felis"
"551","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus"
"552","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Pagophilus","Pagophilus groenlandicus"
"553","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Harpia","Harpia harpyja"
"554","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"555","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"556","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"557","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"558","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus Hawaiiensis"
"559","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Neomonachus","Neomonachus schauinslandi"
"560","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"561","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Dynastes","Dynastes hercules"
"562","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"563","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"564","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"565","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos Taurus"
"566","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"567","Animalia","Chordata","Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus","Hippopotamus amphibius"
"568","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Lasiurus","Lasiurus cinereus"
"569","Animalia","Chordata","Mammalia","mam","Canidae","Canis","Canis lupus"
"570","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Ectophylla","Ectophylla alba"
"571","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mellivora","Mellivora Capensis"
"572","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"573","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"574","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"575","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"576","Animalia","Chordata","Chondrichthyes","Heterodontiformes","Heterodontidae","Heterodontus","Heterodontus francisci"
"577","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"578","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Ceratophrys","Ceratophrys Ornata"
"579","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"580","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus"
"581","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"582","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"583","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Haemorhous","Haemorhous mexicanus"
"584","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes aedon"
"585","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","Alouatta"
"586","Animalia","Chordata","Mammalia","Primates","Hominidae","Homo","Homo Sapiens Sapiens"
"587","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus humboldti"
"588","Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Dosidicus","Dosidicus gigas"
"589","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"590","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"591","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"592","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"593","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"594","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"595","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"596","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"597","Animalia","Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta","Crocuta Crocuta"
"598","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"599","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"600","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"601","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
